Year,Title,Director,Cast,Genre
2003,Above Death: In God We Trust,Simi Opeoluwa,Pete Edochie Kate Henshaw-Nuttal Genevieve Nnaji Ramsey Nouah Zack Orji,Drama
2003,Abuja Connection,Adim Williams,,Action / drama / thriller
2003,Baby Police,Amayo Uzo Philips,Ijeoma Angel Boniface Okey Billy Boniface Osita Iheme Camilla Mberekpe Okechukwu Obioha Francis Odega Chinwe Owoh,Comedy / drama
2003,Emotional Crack,Lancelot Imasuen,Ramsey Nouah Dakore Egbuson Stephanie Okereke Emma Ayalogu,
2003,Kasalama: The Slave Merchant,Kenneth Egbuna,Sam Loco Efe Chiwetalu Agu Tom Njemanze Emeka Ani,
2003,Mission To Africa,Joy Dickson,Olu Jacobs Segun Arinze Gloria Anozie Bruno Jnr,Thriller / drama
2003,Oil Money,Neville Ossai,Clem Ohameze Chidi Mokeme Chijioke Abagwe Maureen Solomon,
2004,The London Boy,Simi Opeoluwa,Ramsey Nouah Simone McIntyre Segun Arinze Uche Amah Abriiel,
2004,The Mayors,Dickson Iroegbu,Richard Mofe-Damijo Sam Dede Segun Arinze,Drama
2004,Missing Angel,Charles Novia,Stella Damasus Aboderin Desmond Elliot,Drama
2004,Home and Abroad,Lancelot Imasuen,John Okafor Victor Oswuagwu Izoya Isaac Rita Azenobor,
2004,Goodbye New York 1 and 2,Tchidi Chikere,Genevieve Nnaji Jim lyke Rita Dominic Chidi Mokeme,
2004,Fateful Love,Simi Opeoluwa,Ramsey Nouah Omotola Jalade Ekeinde Paul Obazele Uche Amah Abriel,
2004,Last Girl Standing 1 and 2,John Uche,Jim Iyke Stepahnie Okereke Robert Peters Empress Njamah,
2004,Mr Ibu in London,Adim Williams,John Okafor Ishola Oshun Kareem Adepoju Femi Falana,
2004,London Forever,Chico Ejiro,Shan George Lanre Falana Lilian Bach Rachel Oniga,
2005,Rising Moon,Andy Nwakolor,"Akume Akume, Arthur Brooks, Justus Esiri, Onyeka Onwenu",Drama
2006,Manko,Alhaji Sagir Mohammed,Yahaya Alfa Abdullahi Mohamed Bida John Gana Muwo Jibrin Yinkagi,
2006,Sitanda,Izu Ojukwu,Stephanie Okereke,Adventure / drama
2006,Night in the Philippines 1 and 2,Zeb Ejiro,Desmond Elliot Ibinabo Fiberesima Marie Eboka Ufoma Ejenobor,
2006,Mr Lecturer,Prince Emeka Ani,Nkem Owoh Sam Loco Efe Stella Ikwuegbu Chidinma Aneke,
2006,30 Days,Mildred Okwo,Genevieve Nnaji Joke Silva Segun Arinze,Action / thriller
2006,Girls Cot 1-3. 2006,Afam Okereke,Genevieve Nnaji Rita Dominic Ini Edo Uche Jombo,
2006,Games Men Play,Lancelot Oduwa Imasuen,Kate Henshaw-Nuttal Ini Edo Chioma Chukwuka Chinedu Ikedieze Kalu Ikeagwu Jim Iyke,
2006,Abeni,,,
2006,The Amazing Grace,Jeta Amata,Joke Silva Nick Moran Scott Cleverdon,
2006,The Narrow Path,Tunde Kelani,Sola Asedeko Seyi Fasuyi Eniola Olaniyan Ayo Badmus,
2006,This Is Nollywood,"Robert Caputo, Franco Sacchi",Bond Emeruwa,Documentary
2007,Life Incidence: A Day to Destiny,Iyke Odife,Jim Iyke Mike Ezuruonye Ebube Nwagbo Browny Igboegwu,
