,title,director,stars,genre,release_date,company
4277,A Better Place,"{""Tchidi Chikere""}","{""Rita Dominic"",""Desmond Elliot"",""Austin Faani Ikechukwu"",""Jim Iyke"",""Ashley Nwosu"",""Emma Odele""}",{Drama},2007-09-01,"{""O. Gabby Innovations""}"
4279,Sunny My Son,"{""Obi Callys Obinali""}","{""Cynthia Amadi"",""Ifeyani Callis"",""Nonso Diobi"",""Pete Edochie"",""Yul Edochie"",""Amaka Egeonu"",""Ifoghale Ejeta"",""Okwui Eneowo"",""Ikechukwu Etoniru"",""Iwuju Innocent"",""Mimi Joe"",""Benedict Johnson"",""Jessy Jonathan"",""Okocha Joseph"",""Joyce Kalu"",""Promise Nnamdi"",""Ebele Nwanze"",""Prince Sunny Ofia""}",{Drama},2007-12-01,"{""Elonel International Ltd.""}"
4280,The Campus Queen,"{""Tunde Kelani""}","{""Henry Abba"",""Segun Adefila"",""Toyin Adegbola"",""Princess Damilola Adekoya"",""Motunrayo Adeoye"",""Larinde Akinleye"",""David Akinyemi"",""Abiola Atanda"",""Mayowa Atanda"",""Yewande Balogun"",""William Benson"",""Yinka Craig"",""Francesca Duro-Oni"",""Onuchukwu Ekene"",""Orungbeja Enitan"",""Lanre Fasasi"",""Doyin Hassan"",""Koffi Idowu""}","{Drama,Musical}",2004-04-01,"{""Mainframe Film and Television Productions""}"
4281,Warriors in Heels,"{""David Gee Ahanmisi""}","{""Roxy Antak"",""Mofe Duncan"",""Keppy Ekpenyong-Bassey"",""Uche Elumelu"",""Femi Jarrett"",""Bimbo Manuel"",""Taiwo Ola"",""Christian Paul"",""Florence Sunday"",""Abaji Maimuna Yahaya""}",{Drama},2021-01-01,"{""Rok Studios""}"
4282,Forest of Tears 2,"{""Ifeanyi Ogbonna""}","{""Kofi Adjorlolo"",""Walter Anga"",""Tonto Charity Dikeh"",""Mike Ezuruonye"",""Olu Jacobs""}",{Drama},2009-02-01,"{""Onyu Best Bright""}"
4283,Total War 2,"{""Andy Nwakalor""}","{""Akume Akume"",""Francis Duru"",""Omotola Jalade-Ekeinde"",""Uche Jombo"",""Leo Mezie"",""Maureen Solomon""}",{Drama},2007-06-01,"{""De-Kross Movie Production""}"
4284,The Prince & the Princess 2,"{""Franklin Chinedum Nwoko""}","{""Fabian Adibe"",""Chika Anyanwu"",""Nonso Diobi"",""Bruno Iwuoha"",""Sam Loco Efe"",""Elder Maya Ndubuigbo"",""Vitalis Ndubuisi"",""Chinwe Owoh""}",{Drama},2005-12-01,"{""Okwytex Ventures Ltd.""}"
4285,Police Recruit,"{""Charles Inojie""}","{""Chiwetalu Agu"",""Nnamdi Eze"",""Charles Inojie"",""Sam Loco Efe"",""Amaechi Muonagor"",""John Okafor"",""Nkem Owoh""}","{Comedy,Drama}",2003-07-01,"{""O.J. Production""}"
4286,The Return of Mama-G,"{""MacCollins Chidebe""}","{""Kelly Akara"",""John Okafor"",""Patience Ozokwor"",""Paul Udonsi""}",{Drama},2006-05-01,"{""Magic Movies Production""}"
4287,Discerning Eyes,"{""Kingsley Fresh Onyenma""}","{""Abbey Awobimpe"",""Ebenezer Eno"",""Mariam Kayode"",""Stan Nze"",""Onyebuchi Peniel"",""Okawa Shaznay"",""Angel Unigwe""}",{Drama},2022-11-01,"{""Rok Studios""}"
4288,Keke gbajumo,"{""Abiodun Adekanbi""}","{""Toyin Adegbola"",""Gbolagbade Akinpelu"",""Misitura Asumo"",""Yomi Fash-Lanso"",""Lere Paimo""}",{Drama},2005-02-01,"{""Igbalajobi Films Production""}"
4289,Ojukokoro: Greed,"{""Dare Olaitan""}","{""Charles Etubiebi"",""Tope Tedela"",""Seun Ajayi"",""Wale Ojo"",""Emmanuel Ikubese"",""Ali Nuhu"",""Shawn Faqua"",""Sammie Eddie"",""Hafiz Oyetoro"",""Gbolahan Olatunde"",""Somkele Iyamah-Idhalama"",""Lord Frank"",""Nneka Ezealor Olademeji"",""Damilola Ogunnupebi"",""Kayode Olaiya"",""Kunle Remi"",""Linda Ejiofor"",""Zainab Balogun""}","{Comedy,Crime,Thriller}",2017-03-01,"{""BCI Studios"",""House Gabriel Studios"",""Singularity Media""}"
4290,XXIII,"{""Luketer Nguhwar""}","{""Aveir Fafa Desmond"",""Utoo Solomon Fater"",""Deeto Igoche"",Terrytharapman}","{Short,Thriller}",2022-01-01,"{""Jayknowsvisuals Film""}"
4292,Babies & Friends,"{""Austin Nwaolie""}","{""Gusty Chibuike"",""Francisca Eleyele"",""Desmond Elliot"",""Serena Foghi"",""Seleye Fubara"",""Ruth Kadiri"",""Ifeanyi Kalu"",""Bolaji Ogunmola"",""Wole Ojo"",""Emeka Okoye""}",{Drama},2020-07-01,"{""Denziot Studios Production"",Iwaritainment}"
4293,Be My Wife 2,"{""Ikechukwu Onyeka""}","{""Sam Dede"",""Uche Jombo"",""Ebele Okaro-Onyiuke""}",{Drama},2007-02-01,"{""Chijioke Nneja Production""}"
4294,Wrong Desire 2,"{""Lancelot Oduwa Imasuen""}","{""Medina Aijikawo"",""Adesuwa Eguavoen"",""Ngozi Ezeonu"",""I.K. Kelvin"",""Ashley Nwosu"",""Georgina Onuoha"",""Kennedy Uyi Oviahon""}",{Drama},2008-12-01,"{""Komic Relief Pictures"",""Lancewealth Image""}"
4295,The Last Enigma,"{""Link Edochie""}","{""Stan K. Amandi"",""Kamsi Amaraegbu"",""Ezinne Bertrand"",""Edeh Chibueze"",""Ikechukwu Chike"",""Ugoji Chinedu"",""Link Edochie"",""Yul Edochie"",""Ugo Doris Igwe"",""Esther James"",""K.C. Kennedy"",""Rowland Macroy"",""Amadi Magnus"",""Chidi Mba"",""Sharon Ndubuisi"",""Joseph Njoku"",""Jane Obi"",""Jennifer Okoli""}",{Drama},2022-10-01,"{""Maciboi Ventures""}"
