,title,director,stars,genre,release_date,company
1956,Only in America,"{""David DeCrane""}","{""Pascal Atuma"",""Tanjareen Thomas"",""Sandra Achuns"",""Shola Adeyemo"",""Veronica Kelly"",""Rhonda Morman"",""Philomena Oyey"",""Daniel Patterson"",""Ta Taylor"",""Robynne Young""}",{Drama},2005-02-01,"{""360 World Pictures""}"
1957,For Better for Trouble,"{""Victor Okpala""}","{""Stephen Damian"",""Derby Frankson"",""Frederick Leonard"",""Peggy Ovire"",""Elaine Afekuro Tamara""}",{Comedy},2021-06-01,"{""Dope7 Media""}"
1958,I Wish She Would,"{""Okechukwu Oku""}","{""Hekka Hedet"",""Ben-Shalom Joshua"",""Joseph Momodu"",""Oge Nwuba"",""Chioma Okafor"",""Ebele Okaro-Onyiuke"",""Genny Uzoma""}",{Drama},2019-07-01,"{""Rok Studios"",""The Oracle Films""}"
1959,Ifunanya,"{""John Njamah""}","{""Blessing Abasi"",""Chika Anyanwu"",""Mary Ann Apollo"",""Bliss Cherry"",""Salvy Festus"",""Chidinma Maria"",""Kachi Nnochiri"",""Ekwutosi Obi"",""Ifeoma Obinwa"",""Chioma Okeke"",""Jazzy Okey"",""Chinedu Onyeka"",""Chinyere Peters"",""Gift Sebastian""}",{Drama},2022-07-01,"{""Rok Studios""}"
1961,Love Language,"{""Emeka Madu""}","{""Temitope Odunayo Ajani"",""Uzor Arukwe"",""Jennifer Frank-Nosa"",""Scarlet Gomez"",""Diamond Isitua"",""Emeka Madu"",""Kachi Nnochiri"",""Ejike Silas Nwogu"",""Gloria Tega""}",{Romance},2022-04-01,"{""Rok Studios""}"
1963,Light in the Tunnel,"{""A.G.M. Bashir""}","{""Chiwetalu Agu"",""Obey Etok"",""Ngozi Ezeonu"",""Ashley Nwosu""}",{Drama},2007-03-01,"{""Great King Productions""}"
1964,Make a Move,"{""Niyi Akinmolayan""}","{""Wale Adebayo"",""Denrele Edun"",""Eno Ekpenyong"",""Tuface Idibia"",""Tina Mba"",""Omawunmi Megbele"",""Majid Michel"",""Beverly Naya"",""Ivie Okujaye"",""Helga Sosthenes""}",{Drama},2014-05-01,"{""Avizzle Productions""}"
1965,Tangled Web,"{""Reginald Ebere""}","{""Bobby Anderson"",""Mike Durueke"",""Amarachi Ekeneme"",""Bryan Emmanuel"",""Andy Ike"",""Ugochukwu Josiah"",""Ruth Kadiri"",""Vera Kanu"",""Moyo Lawal"",""Bolanle Ninalowo"",""Koko-Eka Reuben"",""Jojo Yovwe""}",{Drama},2017-03-01,"{""Divine Touch Productions""}"
1966,Made in Heaven,"{""Toka McBaror""}","{""Toyin Abraham"",""Dauda Adewale"",""Donia Mako Adewoye"",""Amaka Ann Amamchukwu"",""Vivian Arinze"",""Onoge Tega Ben"",""Blossom Chukwujekwu"",""Bennett Chinedu Daniel"",""Cassie Daniel"",""Ara Deinde"",""Chimamanda Dennis"",""Eso Dike"",""Sani Donli"",""Joy Ebiem"",""Kemen Ekerette"",""Lasisi Elenu"",""Steve Enagbare"",""Elohor Christabel Enis""}","{Comedy,Fantasy,Romance}",2019-09-01,"{""Peekaboo Consulting""}"
1967,Last Decision,"{""MacCollins Chidebe""}","{""Hanks Anuku"",""Eucharia Anunobi Ekwu"",""Pedro Chima"",""Clem Ohameze"",""Jude Oteka"",""Tony Umez""}",{Drama},2004-11-01,"{""C.Y.O. Research""}"
1968,Èèkù-idà,"{""Tunji Bamishigbin""}","{""Fathia Balogun"",""Saidi Balogun"",""Liz Benson"",""Taiwo Hassan"",""Bimbo Oshin"",""Adebayo Salami""}",{Drama},2002-10-01,"{""Rockview Productions""}"
1969,Jinxed,"{""Festus Olalekan Dairo""}","{""Olofin Comfort"",""Jolaadura Ezekiel""}","{Short,Drama}",2020-12-01,"{""Mount Zion Institute of Christian Drama""}"
1970,Expensive Error 2,"{""Okey-Zubelu Okoh""}","{""Hanks Anuku"",""Eucharia Anunobi Ekwu"",""Rita Edochie"",""Tony Umez""}",{Drama},2003-07-01,"{""Nojin Productions""}"
1971,Yankee Girls 2,"{""Moses Ebere""}","{""Stella Damasus"",""Rita Dominic"",""Uche Elendu"",""Omotola Jalade-Ekeinde"",""Emeka Nwafor"",""Uche Ogbodo"",""Chinyere Wilfred""}",{Drama},2008-03-01,"{""Mega Movies Industry""}"
1972,Message,"{""Reginald Ebere""}","{""Fabian Adibe"",""Chiege Alisigwe"",""Emeka Amakeze"",""Prince Mark Amobi"",""Sincere Joy Arukwu"",""Azubuike Chibueze"",""Petrominila Chineye"",""Emma Emordi Daniels"",""Nonso Diobi"",""Obumneka Echeta"",""Chiege Ede"",""Chika Eluwa"",""Emeka Enyiocha"",""Johnpaul Ifeanyi"",""Mary Igwe"",""Abraham Madubuko"",""Zion Maria"",""Henry Ngbeomele""}",{Drama},2005-08-01,"{""Cobic Productions""}"
1973,The Lost Café,"{""Kenneth Gyang""}","{""Tunde Aladese"",""Grace-Charis Bassey"",""Jenny Bonden"",""Tayo Citadel"",""Anita Daniels"",""Silje Drengsrud"",""Julie Ettah"",""Mathew Ettah"",""Anders Lidin Hansen"",""Ludvik Hjardar"",""Ingrid Lill Høgtun"",""Torbjörn T. Jensen"",""Terje Bruun Lien"",""Marianne Lindbeck"",""Gift Mbang"",""Anne Njemanze"",""Carla Nyquist"",""Glory Ogar""}",{Drama},2018-05-01,"{""Cinema Kpatakpata"",""New Dawn Entertainent"",""Peridot Entertainment""}"
1974,The Lost Okoroshi,"{""Abba Makama""}","{""Seun Ajayi"",""Judith Audu"",""Tope Tedela"",""Olaye Benjamin"",""Ifu Ennada"",""Chiwetalu Agu"",""Ejetaremi Ayotubu Michael"",""Demi Banwo"",""Ozzy Agu"",""Eric Obinna"",""Kelechi Udegbe"",""Donald Jonah"",""Don Ekwuazi"",""Crystabel Goddy"",""Ibrahim Jammal"",""Adedayo Davies"",""Stella Ikebudu"",""Destiny Osagiede""}","{Action,Adventure,Drama}",2020-09-01,"{""Osiris Film and Entertainment""}"
1975,King of the Town,"{""Simi Opeoluwa""}","{""Femi Agunbiade"",""Jerry Amilo"",""Hanks Anuku"",""Desmond Elliot"",""Benita Nzeribe"",""Wale Odusanya"",""Thelma Okoduwa"",""Robert Peters""}",{Action},2006-04-01,"{""Andy Best Electronics""}"
1976,Èbúté,"{""Tokunbo Awoga""}","{""Femi Adebayo"",""Toyin Adegbola"",""Bola Adewale"",""Toyin Adewale"",""Tokunbo Awoga"",""Laide Bakare"",""Olusegun Fapounda"",""Peter Fatomilola"",""Nike Idris"",""Bisi Komolafe"",""Bukola Mosoba"",""Bimbo Ogunnowo"",""Biodun Okeowo"",""Olasunkanmi Oloyinde"",""Ganiu Yahya""}",{Drama},2010-06-01,"{""Diamond Production"",""Latmus Film International""}"
1977,Royal Insult 2,"{""Iyke Odife""}","{""Chioma Chukwuka Akpotha"",""Nonso Diobi"",""Ngozi Ezeonu"",""Leo Mezie""}",{Drama},2006-05-01,"{""Kensimon Production""}"
1979,Too Much 2,"{""Daniel Ademinokan""}","{""Seun Akindele"",""Nonso Diobi"",""Ngozi Ezeonu"",""Uche Jombo"",""Ginnefine Kanu"",""Sana Kanu""}",{Drama},2010-12-01,"{""Denziot Studios Production""}"
1980,Living with Death,"{""Moses Ebere""}","{""Pete Edochie"",""Ngozi Ezeonu"",""Ifeanyi Ezeokeke"",""Amaka Ezec"",""Onochie Ifeobu"",""Onyeka Udehi"",""Charles Okafor"",""Nnamdi Igwe Onwu"",""Ifeanyi Odikaesieme"",""Jeff Obavor"",""Obi Dike"",""Steve Oboh"",""Rita Edochie"",""Jossy Onuzuluike"",""Chimdi Chiama"",""Obi Emelife"",""Nick Eleh"",""Genesis Uchendu""}",{Drama},2006-04-01,"{""Great King Productions"",""Joe Chris Entertainment""}"
1981,Joseph,"{""Ifeme Chidiebere Samuel"",""Efa Iwara""}","{""Tamilore Adesuyi"",""Daniel Avery"",""Ifeme Chidiebere Samuel"",""Okey Michael Ejoor"",""Efa Iwara"",""Osarehia Oronsaye""}","{Short,Drama}",2022-04-01,"{""I.Nobody Productions"",""Mizizi Media""}"
1983,Voiceless,"{""Robert Peters""}","{""Mary Anawo"",""Musa Ashoms"",""Rekiya Attah"",""Thankgod Bitrus"",""Abubakar Jibrin Datti"",""Nadia Dutch"",""Tijani Faraga"",""Adam Garba"",""Jamila Ibrahim"",""Bash Idris"",""Asabe Madaki"",""Abubakar Maina"",""Yakubu Mohammed"",""Sani Mu'azu"",""Deborah Nyako"",""Frank Okonkwo"",""Manji Oracle"",""Basil Pwol""}",{Thriller},2020-11-01,"{""Native Media"",""White Stone Pictures""}"
1984,Reckless Babes,"{""Uzee Madubogwu""}","{""Chiege Alisigwe"",""Eucharia Anunobi Ekwu"",""Charles Okafor"",""Nwani Okoro"",""Chinwe Owoh"",""Angela Phillips""}",{Drama},2003-08-01,"{""Simony Productions""}"
1985,Deadly Instinct,"{""Yemi Morafa""}","{""Lota Chukwu"",""Omowunmi Dada"",""Ibeh Nnenna""}",{Drama},2015-07-01,"{""African Movie Channel""}"
1986,Passionate Appeal,"{""Andy Amenechi""}","{""Gloria Anozie"",""Rita Edochie"",""Ramsey Nouah"",""Uche Odoputa"",""Thelma Okoduwa""}",{Drama},2006-01-01,"{""Annex Merchandise Ltd.""}"
1988,Suku suku bam bam,"{""Dayo Adewunmi""}","{""Dayo Adewunmi"",""Gbolagbade Akinpelu"",""Fathia Balogun"",""Dele Odule"",""Ronke Ojo"",""Ebun Oloyede"",""Feso Oyewole"",""Segun Remi""}",{Drama},2004-10-01,"{""Adesqueen Production""}"
1989,Lagos Boys,"{""Andy Chukwu""}","{""Julius Agwu"",""Osita Iheme"",""Chidi Ijuoma"",""Chinedu Ikedieze"",""Ekaete Inyang"",""Angela Brown Kalu"",""Ben Nwosu"",""Ken Odurukwe"",""Ronke Ojo"",""Ralph Onu""}","{Comedy,Drama}",2003-06-01,"{""Deraco Productions""}"
1991,Nightmare Employee,"{""Bola Akanbi""}","{""Matein Ebiwari"",""Oge Indiana"",""Moc Madu"",""Chiamaka Nwokeukwu"",""Bolaji Ogunmola"",""Treasure Richard""}",{Drama},2021-04-01,"{""Giant Creative Media"",""Rok Studios""}"
1992,Swallow,"{""Kunle Afolayan""}","{""Deyemi Okanlawon"",""Chioma Chukwuka Akpotha"",""Kunle Afolayan"",""Segun Remi"",""Mercy Aigbe"",""Eniola Badmus"",""Frank Donga"",""Ijeoma Grace Agu"",""Kayode Olaiya"",""Joke Muyiwa"",""Anthony Edet"",""Kevin Ikeduba"",""Toyin Bifarin Ogundeji"",""Omotunde Adebowale David"",Niyola,""Joseph Jaiyeoba"",""Eniola Akanni"",""Bala Bello""}","{Drama,History,Thriller}",2021-10-01,"{""Netflix Studios""}"
1993,The Saviour in Black,"{""Naya Nok""}","{Vinvae,""Ademola Sarah Anuoluwapo"",""Precious Benjamin"",""Osoroh Jacinta"",""King Righteous"",""Iweka Joe"",""Oby Jonathan"",""Mavis Abraham Saliu"",""Chukwugoziem A Okolo"",""Ugochukwu Joseph Okafor"",""Promise Madukwe""}","{Short,Mystery,Thriller}",2021-12-01,"{""VTB Entertainment""}"
1994,Blames of Memories 2,"{""Victor Emeghara""}","{""Peter Bunor"",""Emeka Enyiocha"",""Ngozi Ezeonu"",""Mike Ezuruonye""}",{Drama},2005-01-01,"{""Iyke-Mec Films""}"
1995,Displaced,"{""Charles Uwagbai""}","{""Tana Adelana"",""Lota Chukwu"",""Blossom Chukwujekwu"",""Chioma Mbaonu"",""Kelly Ochonogor"",""Genny Uzoma""}",{Drama},2017-09-01,"{""Oakfil Productions""}"
1996,Bella's Drift,"{""Paul Iheanyichukwu Igwe""}","{""Moyo Farawe Ahmed"",""Evans Castro"",""Chinelo Ejianwu"",""Alexander Igwe"",""Uche Nwaefuna"",""Melvin Oduah"",""Isaac Okorie""}",{Drama},2021-01-01,"{""African Movie Channel"",""Whitestone Cinema""}"
1999,I Have a Dream 2,"{""Reginald Ebere""}","{""Ifeoma Anyiam"",""Emeka Enyiocha"",""Omotola Jalade-Ekeinde"",""Bob-Manuel Udokwu""}",{Drama},2003-12-01,"{""Dubem Holdings""}"
2000,Joshua,"{""Adim Williams""}","{""Blessing Asibe"",""Lilian Bach"",""Rita Dominic"",""Oby Edozieh"",""John Okafor"",""Victor Osuagwu"",""Ik Tereira""}",{Comedy},2005-11-01,"{""O.C. Movies Production"",""Videofield International""}"
2001,Separated,"{""Tope Alake""}","{""Paschaline Alex"",""Shaffy Bello"",""Chelsea Eze"",""Efe Irele"",""Helen Samuel""}",{Drama},2020-02-01,"{""Mazinni Pictures"",""Rok Studios""}"
2003,Save a Soul,"{""Elvis Chuks""}","{""Festus Aguebor"",""Seun Akindele"",""Monalisa Chinda"",""Elvis Chuks"",""Clarion Chukwura-Abiola"",""Don C. Ezeh"",""Ugochukwu Ibekwe"",""Kalu Ikeagwu"",""Kogi Charlie Musa"",""Ashley Nwosu"",""Ik Ogbonna"",""Kayode Olasehinde"",""Patience Oseni"",""Austin Owen"",""Kay Solo"",""Chinyere Uwah""}",{Drama},2007-04-01,"{""Filmark Productions""}"
2004,The Living Deity,"{""Kensteve Anuka""}","{""Joseph Agu"",""Minyie Apusungu"",""Nicetime Bassey"",""Adaeze Chiegbu"",""Vera Dan"",""Munachi Ejike"",""Destiny Etiko"",""Oge Gabriel"",""Ikeh Chiamaka Gift"",""Queeneth Hilbert"",""Daylight Igwesi"",""Diewait Ikpechukwu"",""Iloka Iyke"",""Chika Lann"",""Gabriel Okorie"",""Bianca Osigwe"",""Sunny Oti"",""Nosa Rex""}",{Drama},2020-04-01,"{""Style Blast Africa""}"
2005,Tiger's Tail,"{""Victor Okpala""}","{""Akintoba Adeoluwa"",""Iremide Adeoye"",""Natacha Akide"",""Eniola Badmus"",""Ajiboye Bukunmi"",""Stephen Damian"",""Alexx Ekubo"",""Efe Henry"",""Etinosa Idemudia"",""Bofie Itombra"",""Anita Joseph"",""Zubby Michael"",""Melvin Oduah"",""Nosa Rex"",""Kelechi Udegbe""}",{Thriller},2022-07-01,"{""Dope7 Media""}"
2006,Priceless Passion,"{""Okey Ifeanyi""}","{""Tonto Charity Dikeh"",""Johannes Maier"",""Lisa Onu"",""Vincent Opurum""}",{Drama},2013-02-01,"{""Black Speech Media Group""}"
2007,Things That Broke Us,"{""Michael Akinrogunde""}","{""Bolu Essien"",""Stan Nze""}","{Short,Drama}",2021-08-01,"{""Evolving Light Studios""}"
2009,Ti oluwa ni ile 3,"{""Tunde Kelani""}","{""Kareem Adepoju"",""Adewale Elesho"",""Lekan Oladepo"",""Deji Olofaina"",""Tafa Oloyede""}",{Drama},1993-02-01,"{""Mainframe Film and Television Productions""}"
2010,The Last Dream 2,"{""Peter Ugwu Chibuzor""}","{""Tony Akposeri"",""Enebeli Elebuwa"",""Ngozi Ezeonu"",""Uche Odoputa""}",{Drama},2006-12-01,"{""Outstrip Movies Investment""}"
2011,Mr. Increbidle,"{""Diji Aderogba""}","{""Fred Amata"",""Frankincense Eche-Ben"",""Ben-Shalom Joshua"",""Ebere Doris Okorie"",""Tosin Pedro""}",{Drama},2021-04-01,{iROKOtv}
2012,I Feel U 2,"{""Aguila Njamah""}","{""Dakore Akande"",""Hanks Anuku"",""Ini Edo"",""Desmond Elliot"",""Ini Ikpe"",""Ebele Okaro-Onyiuke""}",{Drama},2005-04-01,"{""Ulzee Nigeria Ltd.""}"
2013,Between the Lines,"{""Richards Omos-Iboyi""}","{""Vivian Anani"",""Norbert Asikhia"",""Christian Colman"",""Sochima Ezeoke"",""Ehiz Godsplan"",""Thelma Ibemere"",""Vanessa Idodo"",""Kalu Ikeagwu"",""Nancy Isime"",""Chita Agwu Johnson"",""Richards Omos-Iboyi""}",{Drama},2022-05-01,"{""Zoke TV""}"
2014,More Than Just 4 Letters,"{""Patience Oghre""}","{""Tana Adelana"",""Jide Kosoko"",""Frederick Leonard"",""Nosa Rex"",""Rotimi Salami"",""Doris Simeon""}",{Drama},2019-04-01,"{""Bossteewo Studio"",""Intermix Int. Nig""}"
2015,Come to My House,"{""Jimi Ojikutu""}","{""Promise Agbor"",""Gbubemi Ejeye""}","{Short,Thriller}",2022-04-01,"{""Jingla Nation Studios""}"
2016,Trump Card,"{""Kayode Peters""}","{""Lilian Afegbai"",""Tony Bashel"",""Stella Charles"",""Nwoko Chidinma"",""Baron Dido"",""Linda Ezewuzie"",""Wofai Fada"",""Babatunde Gbangbola"",""Juliet Ibrahim"",""Caroline Igben"",""Akin Lewis"",""Joseph Momodu"",""Vee Aronu Nene"",""Bolanle Ninalowo"",""Silva Nkwocha"",""Kenneth Okolie"",""Jamiu Olusesi"",""Elias Mubarak Oluwashina""}",{Drama},2021-03-01,"{""Elrab Entertainment""}"
2017,Ukwa 2,"{""Chika Onu""}","{""Sam Loco Efe"",""Amaechi Muonagor"",""Chinelo Ndigwe"",""Rita Nzelu"",""Chuks Okpala"",""Nkem Owoh"",""Patience Ozokwor""}",{Comedy},1995-07-01,"{""Valseco Industries""}"
2018,Forces of Nature,"{""Tchidi Chikere""}","{""Chiege Alisigwe"",""Emma Amakaeze"",""Njuwe Azubuike"",""Kenneth Chukwu"",""Francis Duru"",""Austin Faani Ikechukwu"",""Stella Ikwuegbe"",""Greg Josephat"",""Elder Maya Ndubuigbo"",""Abraham Nwodo"",""Chinonso Ofoegbu"",""Uche Ogbodo"",""Ifeoma Okeke"",""Chima Okorie"",""Moses Okpa"",""Cletus Okwute"",""Gadiel Onwudiwe"",""Hakeem Rahman""}",{Drama},2006-08-01,"{""O. Gabby Innovations""}"
2019,A Little too late,"{""Afe Olumowe""}","{""Sana Kanu"",""Daniel Lloyd"",""Shaquita Smith""}",{Drama},2018-03-01,"{""Nevada Bridge Productions""}"
2020,Mothers Cry,"{""Zack Orji""}","{""Peter Bunor"",""Emmanuel France"",""Victoria Inyama"",""Larry Koldsweat"",""Ngozi Orji"",""Zack Orji"",""Chinyere Wilfred""}",{Drama},2001-05-01,"{""Unit Colloids Nigeria""}"
2021,Maje npasan,"{""Oladejo Adegboyega""}","{""Remi Abiola"",""Bimbo Akinsanya"",""Tina Mba"",""Tubosun Odunsi"",""Toun Oni"",""Yemi Solade""}",{Drama},2008-03-01,"{""Alawaye Ventures""}"
2022,Battle Line,"{""Ifeanyi Ikpoenyi""}","{""Prince Emeka Ani"",""Pat Attah"",""Charles Awurum"",""Pete Edochie"",""Tony Goodman"",""Genevieve Nnaji"",""Ramsey Nouah"",""Ashley Nwosu""}",{Thriller},2002-02-01,"{""Deraco Productions""}"
2023,Women's Cot,"{""Dickson Iroegbu""}","{""Bukky Ajayi"",""Rita Edochie"",""Chidi Ihesie"",""Bimbo Manuel"",""Onyeka Onwenu"",""Zack Orji"",""Joke Silva""}",{Drama},2005-07-01,"{""Great Future Production Company""}"
2024,Òwú ìyá,"{""Yemi Amodu""}","{""Kareem Adepoju"",""Adewale Elesho"",""Dele Odule"",""Peju Ogunmola"",""Akinyemi Olaiya"",""Bimbo Oshin""}",{Drama},2004-12-01,"{""Dudu Heritage""}"
2025,4th Republic,"{""Ishaya Bako""}","{""Alfred 'Six Foot Plus' Atungu"",""Kayode Aiyegbusi"",""Audu Altine"",""Faith Animasahul"",""Jide Attah"",""Rekiya Attah"",""Bassey Ekpo Bassey"",""Preach Bassey"",""Jide Bolariwa"",""Oladigbola Bukolu"",""Sydney Diala"",""Linda Ejiofor"",""Emil Garuba"",""Tony Goodman"",""Kate Henshaw-Nuttal"",""Saratu Ibrahim"",""Ajah Lawrence"",""Bimbo Manuel""}",{Thriller},2019-12-01,"{""Amateur Heads"",""Griot Studios""}"
2027,King of the Forest,"{""Afam Okereke""}","{""Enebechi Alor"",""Ricky Ezeh"",""David Ihesie"",""Dan Nkolagu"",""Eunice Nwadike"",""Charles Okafor"",""Nkem Owoh""}",{Drama},2003-08-01,"{""Great Movies Ind. Ltd."",""Sunny Collins Production""}"
2030,Three Month Window,"{""Biyi Bandele""}","{""Samuel Ajibola"",""Grace Ama"",""Francis Anibiec"",""Chris Attoh"",""Kings Band"",""Timini Egbuson"",""Sharon Ezeamaka"",""Dorcas Shola Fapson"",""Emmanuel Ikubese"",""Efa Iwara"",""Ademola Alabi Joshua"",""Okezie Morro"",""Sani Mu'azu"",""Kachi Nnochiri"",""Evaezi Ogoro"",""Maria Okanrende"",""Leonora Okine"",""Shedrack Omohinmin""}",{Drama},2013-01-01,"{""MTV Staying Alive Foundation"",""MTV Staying Alive Foundation""}"
2031,The Grandmasters 2,"{""Tarila Thompson""}","{""Zulu Adigwe"",""Jerry Amilo"",""Pete Edochie"",""Ngozi Ezeonu"",""Bob-Manuel Udokwu""}",{Drama},2006-10-01,"{""Ossy Affason Production""}"
2032,Adam's Apple,"{""Chidi Chijioke""}","{""Tana Adelana"",""Blessing Koko Ashley"",""Pere Egbi"",""Marvelous Emmanuel"",""Ajah Adaeze Jacqueline"",""Jennifer Obodo"",""Mercy Young""}",{Drama},2022-10-01,"{""Sunyrichy Tek""}"
2034,Robotic Heart,"{""Divine Sohwo""}","{""Divine Sohwo"",""Efe Johnson"",""Mary Joy"",""Orotomaa Divine"",""Sophie Turner"",""Sophia James"",""Joseph Lucky"",""Josuah Caleb"",""Beauty Love"",""David John"",""McCarthy Alex""}",{Sci-Fi},2023-05-01,{Vivastarproduction}
2035,Child Not Bride,"{""Emeka Bishop Nwabunze""}","{""Liz Benson"",""Honor Felix"",""Andy Ike"",""Vera Kalu"",""Jide Kosoko"",""Abdul Mohammed"",""Patience Oseni""}",{Drama},2016-06-01,"{""Divine Touch Productions""}"
2036,Online Delivery,"{""Fidelis Okoh""}","{""Pretty Amadi"",""Jennifer Asiegbu"",""Blessing Blessing"",""Nwaoha Chioma Blessing"",""Josephine Nwaguru Ebube"",""Jennifer Eze"",""Emmanuella Iloba"",""Prince Powel Iteli"",""Emeka Nwaokaka"",""Sambasa Nzeribe"",""Ijeoma Obi-Okoli"",""Sharon Okoli"",""Ijeoma Okwuba"",""Juliet Olise"",""Rubby Orjiakor""}",{Comedy},2022-07-01,"{""Uche Nancy Production""}"
2037,The Stranger I know,"{""Akin-Tijani Balogun""}","{""Toyin Abraham"",""Janet Ajibawo"",""Bimbo Akintola"",""Dayo Amusa"",""Steve Enagbare"",""Akin Lewis"",""Aderonke Moyinlorun"",""Deyemi Okanlawon"",""Busayo Olaleye"",""Jide Omage"",""Dammy Paul"",""Caitlin Skinner"",""Bianca Ugo""}",{Drama},2022-08-01,"{""starling Pictures""}"
2038,Venom of Viper 2,"{""Olowajaiye Michael""}","{""Sunday Afolabi"",""Khing Bassey"",""Jibola Dabo"",""Obinna Eze"",""Onyisi Ezenwa"",""Eze Nwaora George"",""Jennifer Godwin"",""Lucky Ibiekwe"",""Ijioma Imoh"",""Lucky Imueko"",""Tyme Mba"",""Vanessa Okeke"",""Donald Okoye"",""Maureen Okpoko"",""Oma Omalicha"",""Ibee Senior"",""Cathy Williams"",""Moet Williams""}",{Drama},2015-11-01,"{""Prince Justine Production""}"
2039,Olo,"{""Olumide Adedayo""}","{""Olumide Adedayo"",""Laide Bakare"",""Ibrahim Chatta"",""Jibola Dabo"",""Ireti Osayemi"",""Soji Taiwo""}",{Drama},2008-06-01,"{""Standard Motion Pictures""}"
2040,By His Grace,"{""Andy Amenechi""}","{""Mary Ann Apollo"",""Pete Eneh"",""Amaechi Muonagor"",""Genevieve Nnaji"",""Clem Ohameze"",""Patience Ozokwor"",""Tony Umez""}",{Drama},2003-05-01,"{""Melvision International""}"
2041,Queen of Queens,"{""Kabat Esosa Egbon""}","{""Segun Arinze"",""Omo-Osaghie Utete Megiabi"",""Matilda Obaseki"",""Nosa Obaseki"",""Eunice Omorogie"",""Frances Osunde""}",{Drama},2019-01-01,"{""Rok Studios""}"
2042,The Defender 2,"{""Ifeanyi Ikpoenyi""}","{""Hanks Anuku"",""Alex Usifo Omiagbo""}",{Action},2006-09-01,"{""Immortal Films""}"
2043,Game of Chess,"{""Chris Eneaji Eneng""}","{""Ladipo Abiola"",""Juanita Auxano"",""Yemi Blaq"",""Ini Edo"",""Esse Evelyn Eyanu"",""Ifeanyi Kalu"",""Zuri Kodu"",""Joseph Momodu"",""Sambasa Nzeribe"",""Blessing Jessica Obasi-Nze"",""Deyemi Okanlawon"",""Jessica Okpara"",""Ojo Oluwatobiloba"",""Inem Peter"",""Emem Ufot""}",{Drama},2019-12-01,"{""Delonifera Studio""}"
2044,The Conductor,"{""Chris Eneaji Eneng""}","{""Alexandra Agah"",""Lilian Esoro"",""Caroline Igben"",""Jide Kosoko"",""Osita Oluchukwu"",""Blessing Onwukwe"",""Joshua Richard"",""Rotimi Salami""}",{Drama},2018-04-01,"{""WH Productions""}"
2046,Never Yours,"{""Charles Uwagbai""}","{""Charity Awoke"",""Stanley Igboanugo"",""Emeka Madu"",""Nkechi Nnaji"",""Ego Nworji"",""Jane Obi"",""Jennifer Okoli"",""Rachael Okonkwo"",""Uzo Umeh"",""Okey Uzoeshi""}",{Drama},2018-09-01,"{""Oakfil Productions""}"
2047,One Last Kiss,"{""Daniel Oriahi""}","{""Ijeoma Grace Agu"",""Alex Ajoku"",""Saheed Bellow"",""E.O. Benjamin"",""Nwabuna Vanulla Chinagoro"",""Saheed David"",""Goodness Emmanuel"",""Okey Jude"",""Peter Lawyer"",""Udoji Michael"",""Tumbra Money"",""Tony Okebugwu"",""Olubayo Solomon"",""Kelechi Udegbe""}",{Drama},2019-09-01,"{""House 5 Production"",""Rok Studios""}"
2049,King's Guard,"{""Emeka Dibia Emelobe""}","{""Sam Ajah"",Dekumzy,""Emilia Dikeh"",""Nonso Diobi"",""Jennifer Eliogu"",""Frances Nsonwu Ikoroha"",""Odinaka Mbadiugha"",""Dino Ndubueze"",""Uche Ogbodo"",""Sunny Oti"",""Ogaga Williams""}",{Drama},2018-09-01,"{""Rok Studios"",""WH Productions""}"
2050,Deadly Desire 2,"{""Chico Ejiro""}","{""Emeka Enyiocha"",""Shan George"",""Richard Mofe-Damijo"",""Susan Patrick""}",{Drama},2004-06-01,"{""Amaco Investments""}"
2051,Village Corper,"{""Nabil Audie""}","{""Oluseyi Adams"",""Nabil Audie"",""Shonuga Damilare M.""}",{Short},2015-12-01,"{""Audie films""}"
2053,The Grave Dust,"{""Ikechukwu Onyeka""}","{""Joseph Benjamin"",""Amaka Chukwujekwu"",""Emaa Edokpaghi"",""Ramsey Nouah"",""Emeka Okoro"",""Paul Apel Papel"",""Joke Silver""}",{Horror},2015-05-01,"{""B-Kings Movies Nig."",""Crown Prince Productions""}"
2054,We Are Fine,"{""Luke Oyovbaire""}","{""Mezo Akpe"",""Rukky Alexis"",""Femi Bamigbola"",""Faith Oyovbaire"",""Otega Oyovbaire""}","{Short,Thriller}",2017-07-01,"{""Luke Aire Films""}"
2055,Kajola,"{""Muyiwa Ademola""}","{""Toyin Adegbola"",""Muyiwa Ademola"",""Peju Ogunmola"",""Lere Paimo"",""Adebayo Salami""}",{Drama},2005-07-01,"{""Noble Entertainments""}"
2056,Yanayi,"{""Sunusi Oscar""}","{""Nuhu Abdullahi"",""Salisu S. Fulani"",""Zainab Indomie"",""Maryam Isah"",""Sha'aibu Lilisco"",""Ali Nuhu"",""Abdul M. Shareef"",""Fati Washa"",""Adam A. Zango""}",{Drama},2019-12-01,"{""A & Y Kanemi Production""}"
2057,Wazuna,"{""Kesta Gfeller""}","{""Dirisu Mary"",""Onwunuma Maryanne""}","{Short,Drama}",2018-07-01,"{""Decendant Movies"",""Lighthouse Entertainment""}"
